reviewStatus,compilerDecision,compilerNotes,queueRank,queueBucket,candidateId,lane,suggestedAction,priority,chapter,date,title,whyOpen,score,naid,sourceSeries,sourceNote,researchNote,catalogUrl,pdfUrl
,,,39,Conversation signal,RS 004-002,Requested source pool: NSC,Review requested source-pool lead,Conversation search lead,Cross-chapter,1989-04-05 to 1989-04-05,"NSC0009 - April 05, 1989 - Review of National Security Review 3 Regarding U.S. and USSR Relations",memorandum of conversation | telephone conversation | NSC/DC | NSR,39,470760894,H-Files - National Security Council (NSC) Meeting Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC) Meeting Files, NSC0009 - April 05, 1989 - Review of National Security Review 3 Regarding U.S. and USSR Relations.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470760894. Query hit(s): memorandum of conversation, telephone conversation, NSC/DC, NSR. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-9-90000-010.pdf. Catalog: https://catalog.archives.gov/id/470760894.",https://catalog.archives.gov/id/470760894,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-9-90000-010.pdf
,,,39,Conversation signal,RS 007-002,Requested source pool: NSR,Review requested source-pool lead,Conversation search lead,Cross-chapter,1989-06-22 to 1989-06-22,"NSR-18 - June 22, 1989 - Counterintelligence and Security Countermeasures [1]",memorandum of conversation | telephone conversation | NSC/DC | NSR,39,446394960,H-Files - National Security Review (NSR) Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Review (NSR) Files, NSR-18 - June 22, 1989 - Counterintelligence and Security Countermeasures [1].","Catalog provenance: Catalog access Restricted - Possibly; NAID 446394960. Query hit(s): memorandum of conversation, telephone conversation, NSC/DC, NSR. Digital object: 41-bpr-nsc-hfiles-nsr-18_1-90007-008.pdf. Catalog: https://catalog.archives.gov/id/446394960.",https://catalog.archives.gov/id/446394960,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-18_1-90007-008.pdf
,,,39,Signal review,RS 004-003,Requested source pool: NSC,Review requested source-pool lead,Country search lead,Greece; Turkey,1990-08-29 to 1990-08-29,"NSC0054 - August 29, 1990 - Persian Gulf Crisis, Economic Action Plan, Iraq [1]",Greece | Turkey | Turkish | NSC/DC,39,470760959,H-Files - National Security Council (NSC) Meeting Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC) Meeting Files, NSC0054 - August 29, 1990 - Persian Gulf Crisis, Economic Action Plan, Iraq [1].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470760959. Query hit(s): Greece, Turkey, Turkish, NSC/DC. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-54_1-90002-021.pdf. Catalog: https://catalog.archives.gov/id/470760959.",https://catalog.archives.gov/id/470760959,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-54_1-90002-021.pdf
,,,39,Signal review,RS 005-011,Requested source pool: NSC/DC Meetings,Review requested source-pool lead,Country search lead,Greece; Turkey,1992-11-13 to 1992-11-13,"NSC/DC 392 - November 13, 1992 - Small Group Meeting on Kosovo, Keywords: Yugoslavia Bosnia-Herzegovina",Greece | Greek | Turkey | Turkish,39,470761428,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, NSC/DC 392 - November 13, 1992 - Small Group Meeting on Kosovo, Keywords: Yugoslavia Bosnia-Herzegovina.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761428. Query hit(s): Greece, Greek, Turkey, Turkish. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-392-90024-001.pdf. Catalog: https://catalog.archives.gov/id/470761428.",https://catalog.archives.gov/id/470761428,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-392-90024-001.pdf
,,,38,Conversation signal,RS 007-003,Requested source pool: NSR,Review requested source-pool lead,Conversation search lead,Cross-chapter,1989-02-25 to 1989-02-25,"NSR-11 - February 25, 1989 - Defense Management Review [1]",memorandum of conversation | telephone conversation | NSD | NSR,38,446394936,H-Files - National Security Review (NSR) Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Review (NSR) Files, NSR-11 - February 25, 1989 - Defense Management Review [1].","Catalog provenance: Catalog access Restricted - Possibly; NAID 446394936. Query hit(s): memorandum of conversation, telephone conversation, NSD, NSR. Digital object: 41-bpr-nsc-hfiles-nsr-11_1-90006-014.pdf. Catalog: https://catalog.archives.gov/id/446394936.",https://catalog.archives.gov/id/446394936,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-11_1-90006-014.pdf
,,,37,Signal review,RS 004-005,Requested source pool: NSC,Review requested source-pool lead,Country search lead,Greece; Turkey,1990-02-09 to 1990-02-09,"NSC0039 - February 09, 1990 - East Asia Strategy, National Security Review on Philippines Military Base Access [2]",Greece | Turkey | NSC/DC | NSR,37,470760940,H-Files - National Security Council (NSC) Meeting Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC) Meeting Files, NSC0039 - February 09, 1990 - East Asia Strategy, National Security Review on Philippines Military Base Access [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470760940. Query hit(s): Greece, Turkey, NSC/DC, NSR. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-39_2-90002-002.pdf. Catalog: https://catalog.archives.gov/id/470760940.",https://catalog.archives.gov/id/470760940,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-39_2-90002-002.pdf
,,,37,Signal review,RS 004-006,Requested source pool: NSC,Review requested source-pool lead,Country search lead,Greece; Turkey,1990-02-09 to 1990-02-09,"NSC0039 - February 09, 1990 - East Asia Strategy, National Security Review on Philippines Military Base Access [3]",Greece | Turkey | NSC/DC | NSR,37,470760941,H-Files - National Security Council (NSC) Meeting Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC) Meeting Files, NSC0039 - February 09, 1990 - East Asia Strategy, National Security Review on Philippines Military Base Access [3].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470760941. Query hit(s): Greece, Turkey, NSC/DC, NSR. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-39_3-90002-003.pdf. Catalog: https://catalog.archives.gov/id/470760941.",https://catalog.archives.gov/id/470760941,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-39_3-90002-003.pdf
,,,37,Signal review,RS 007-004,Requested source pool: NSR,Review requested source-pool lead,Country search lead,Turkey,1990-05-14 to 1990-05-14,"NSR-26 - May 14, 1990 - Review of U.S.-Turkish Relations",Turkey | Turkish | NSC/DC | NSR,37,446394974,H-Files - National Security Review (NSR) Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Review (NSR) Files, NSR-26 - May 14, 1990 - Review of U.S.-Turkish Relations.","Catalog provenance: Catalog access Restricted - Possibly; NAID 446394974. Query hit(s): Turkey, Turkish, NSC/DC, NSR. Digital object: 41-bpr-nsc-hfiles-nsr-26-90007-022.pdf. Catalog: https://catalog.archives.gov/id/446394974.",https://catalog.archives.gov/id/446394974,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-26-90007-022.pdf
,,,36,Conversation signal,RS 005-014,Requested source pool: NSC/DC Meetings,Review requested source-pool lead,Conversation search lead,Cross-chapter,1990-06-04 to 1990-06-04,"NSC/DC 134 - June 04, 1990 - NSC/DC Meeting on Liberia via SVTS, Keywords: Liberia",telcon | memorandum of conversation | telephone conversation,36,470761126,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, NSC/DC 134 - June 04, 1990 - NSC/DC Meeting on Liberia via SVTS, Keywords: Liberia.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761126. Query hit(s): telcon, memorandum of conversation, telephone conversation. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-134-90014-023.pdf. Catalog: https://catalog.archives.gov/id/470761126.",https://catalog.archives.gov/id/470761126,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-134-90014-023.pdf
,,,34,Conversation signal,RS 004-007,Requested source pool: NSC,Review requested source-pool lead,Conversation search lead,Cross-chapter,1989-04-14 to 1989-04-14,"NSC0010 - April 14, 1989 - Review of Cambodia Policy",memcon | memorandum of conversation | telephone conversation,34,470760895,H-Files - National Security Council (NSC) Meeting Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC) Meeting Files, NSC0010 - April 14, 1989 - Review of Cambodia Policy.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470760895. Query hit(s): memcon, memorandum of conversation, telephone conversation. Digital object: 41-bpr-nsc-hfiles-nsc_mtgs-10-90000-011.pdf. Catalog: https://catalog.archives.gov/id/470760895.",https://catalog.archives.gov/id/470760895,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC_Mtgs_312293887/41-bpr-nsc-hfiles-nsc_mtgs-10-90000-011.pdf
,,,34,Conversation signal,RS 005-017,Requested source pool: NSC/DC Meetings,Review requested source-pool lead,Conversation search lead,Cross-chapter,1989-03-10 to 1989-03-10,"NSC/DC 007 - March 10, 1989 - NSC/DC Meeting on FSX for Japan, Keywords: Japan",memcon | memorandum of conversation | telephone conversation,34,470760981,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, NSC/DC 007 - March 10, 1989 - NSC/DC Meeting on FSX for Japan, Keywords: Japan.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470760981. Query hit(s): memcon, memorandum of conversation, telephone conversation. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-7-90009-007.pdf. Catalog: https://catalog.archives.gov/id/470760981.",https://catalog.archives.gov/id/470760981,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-7-90009-007.pdf
,,,34,Conversation signal,RS 005-018,Requested source pool: NSC/DC Meetings,Review requested source-pool lead,Conversation search lead,Cross-chapter,1992-02-03 to 1992-02-03,"NSC/DC 334 - February 03, 1992 - NSC/DC Meeting re: Israeli Relay Station for USA International Broadcasting, Keywords: Israel, Broadcasting",memcon | memorandum of conversation | telephone conversation,34,470761357,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, NSC/DC 334 - February 03, 1992 - NSC/DC Meeting re: Israeli Relay Station for USA International Broadcasting, Keywords: Israel, Broadcasting.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761357. Query hit(s): memcon, memorandum of conversation, telephone conversation. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-334-90021-022.pdf. Catalog: https://catalog.archives.gov/id/470761357.",https://catalog.archives.gov/id/470761357,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-334-90021-022.pdf
,,,34,Conversation signal,RS 009-009,Requested source pool: IF Transition,Review requested source-pool lead,Conversation search lead,Cross-chapter,,National Security Council Staff Manual,memcon | memorandum of conversation | telephone conversation,34,470760861,National Security Council (NSC) Institutional Files (IF) Transition Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, National Security Council (NSC) Institutional Files (IF) Transition Files, National Security Council Staff Manual.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470760861. Query hit(s): memcon, memorandum of conversation, telephone conversation. Digital object: 41-bpr-nsc-hfiles-if_trans-99015-007.pdf. Catalog: https://catalog.archives.gov/id/470760861.",https://catalog.archives.gov/id/470760861,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99015-007.pdf
,,,32,Conversation signal,RS 005-020,Requested source pool: NSC/DC Meetings,Review requested source-pool lead,Conversation search lead,Cross-chapter,1992-02-24 to 1992-02-24,"NSC/DC 338 - February 24, 1992 - NSC/DC Meeting on Haiti, Keywords: Haiti",memorandum of conversation | telephone conversation | NSC/DC,32,470761361,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, NSC/DC 338 - February 24, 1992 - NSC/DC Meeting on Haiti, Keywords: Haiti.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761361. Query hit(s): memorandum of conversation, telephone conversation, NSC/DC. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-338-90021-026.pdf. Catalog: https://catalog.archives.gov/id/470761361.",https://catalog.archives.gov/id/470761361,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-338-90021-026.pdf
,,,32,Conversation signal,RS 005-021,Requested source pool: NSC/DC Meetings,Review requested source-pool lead,Conversation search lead,Cross-chapter,1992-10-21 to 1992-10-21,"NSC/DC 385 - October 21, 1992 - NSC/DC Meeting on Somalia, Keywords: Somalia",memorandum of conversation | telephone conversation | NSC/DC,32,470761420,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, NSC/DC 385 - October 21, 1992 - NSC/DC Meeting on Somalia, Keywords: Somalia.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761420. Query hit(s): memorandum of conversation, telephone conversation, NSC/DC. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-385-90023-029.pdf. Catalog: https://catalog.archives.gov/id/470761420.",https://catalog.archives.gov/id/470761420,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-385-90023-029.pdf
,,,32,Conversation signal,RS 005-019,Requested source pool: NSC/DC Meetings,Review requested source-pool lead,Conversation search lead,Turkey,1991-01-14 to 1991-01-14,"NSC/DC 242 - January 14, 1991 - NSC/DC Meeting on Baltic States via SVTS, Keywords: USSR",Turkey | memorandum of conversation | telephone conversation,32,470761248,H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files - National Security Council (NSC)/Deputies Committee (DC) Meetings Files, NSC/DC 242 - January 14, 1991 - NSC/DC Meeting on Baltic States via SVTS, Keywords: USSR.","Catalog provenance: Catalog access Restricted - Possibly; NAID 470761248. Query hit(s): Turkey, memorandum of conversation, telephone conversation. Digital object: 41-bpr-nsc-hfiles-dc_mtgs-242-90018-019.pdf. Catalog: https://catalog.archives.gov/id/470761248.",https://catalog.archives.gov/id/470761248,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-242-90018-019.pdf
,,,31,Conversation signal,RS 009-012,Requested source pool: IF Transition,Review requested source-pool lead,Conversation search lead,Cross-chapter,,NSC Procedural Manual - Binder 1 [2],memorandum of conversation | telephone conversation | NSC/DC,31,470760876,National Security Council (NSC) Institutional Files (IF) Transition Files,"Source: George H.W. Bush Library, Bush Presidential Records, National Security Council, National Security Council (NSC) Institutional Files (IF) Transition Files, NSC Procedural Manual - Binder 1 [2].","Catalog provenance: Catalog access Restricted - Possibly; NAID 470760876. Query hit(s): memorandum of conversation, telephone conversation, NSC/DC. Digital object: 41-bpr-nsc-hfiles-if_trans-99017-002.pdf. Catalog: https://catalog.archives.gov/id/470760876.",https://catalog.archives.gov/id/470760876,https://s3.amazonaws.com/NARAprodstorage/lz/presidential-libraries/bush/gb-nsc/H-Files/IF_Transition_348937136/41-bpr-nsc-hfiles-if_trans-99017-002.pdf
